Ticker
AAPL
MSFT
GOOG
GOOGL
TSLA
BRK.B
FB
UNH
JNJ
V
NVDA
XOM
JPM
CVX
PG
MA
WMT
HD
PFE
LLY
BAC
KO
ABBV
AVGO
PEP
MRK
VZ
TMO
COST
ADBE
ABT
ACN
CMCSA
DHR
DIS
NKE
CRM
ORCL
CSCO
MCD
TMUS
INTC
BMY
WFC
LIN
AMD
PM
QCOM
COP
UPS
NEE
T
TXN
RTX
MS
UNP
HON
AMGN
MDT
LOW
IBM
CVS
AXP
SCHW
CAT
AMT
ANTM
LMT
SPGI
INTU
DE
GS
BLK
C
NOW
PYPL
EL
AMAT
BKNG
SBUX
PLD
ADP
MO
CB
NFLX
MDLZ
ADI
EOG
DUK
SYK
GE
MMM
CI
CHTR
BA
ZTS
CCI
SO
MMC
GILD
ISRG
USB
MU
NOC
TGT
CME
TJX
BDX
LRCX
SHW
SLB
CSX
PGR
PNC
PXD
VRTX
CL
D
WM
TFC
ITW
GD
FISV
REGN
OXY
FIS
NSC
MPC
ATVI
EQIX
HCA
AMZN
FCX
VLO
EW
HUM
ETN
APD
FDX
ICE
AON
MAR
PSA
BSX
DG
MET
GM
EMR
MRNA
F
KLAC
PSX
MCO
DVN
NEM
AEP
SRE
FTNT
SNPS
ADM
NXPI
DOW
MNST
ECL
COF
CNC
LHX
EXC
KHC
STZ
MCK
AIG
PAYX
CTVA
KMI
HSY
WMB
ROP
CDNS
KMB
ADSK
SYY
AZO
APH
TEL
TRV
IQV
GIS
ORLY
RSG
CTAS
O
HES
XEL
PRU
CMG
HAL
EA
WBD
DLR
HPQ
HLT
WELL
JCI
BKR
A
AFL
MCHP
CTSH
KR
BAX
WBA
SBAC
DLTR
MSI
BK
PH
LYB
ILMN
ALL
MSCI
GPN
SPG
DD
ED
YUM
IFF
TDG
AJG
CARR
NUE
PEG
BF.B
OTIS
TT
WEC
TSN
PCAR
RMD
FAST
ANET
ES
IDXX
TWTR
ABC
CMI
DFS
BIIB
OKE
PPG
MTB
AMP
DXCM
APTV
GLW
ODFL
MTD
ALB
WY
CTRA
FANG
ROST
SIVB
VICI
TROW
AME
AWK
AVB
EQR
ENPH
LVS
CPRT
VRSK
EBAY
KEYS
DHI
FITB
FRC
EIX
GWW
STT
LUV
DTE
ROK
HRL
CBRE
ARE
ZBH
ETR
DAL
EFX
CDW
MKC
FE
AEE
K
MTCH
HIG
LEN
EXR
TSCO
WST
WTW
BALL
STE
NTRS
MRO
FTV
ULTA
ANSS
PPL
LYV
VMC
URI
VTR
LH
CHD
MLM
MPWR
ALGN
IT
WAT
CEG
DRE
AMCR
CINF
GPC
IR
RF
CMS
CTLT
GRMN
MAA
RJF
MOS
CNP
CFG
DOV
HPE
PARA
VRSN
HBAN
VFC
PWR
FLT
CF
EXPE
PKI
WRB
TDY
HOLX
PAYC
EPAM
FOX
FOXA
COO
SWK
STX
PFG
GNRC
WDC
ESS
JBHT
KEY
IP
J
EXPD
SYF
WAB
APA
BBY
CE
ROL
BR
POOL
SWKS
ZBRA
TRMB
MOH
CLX
TER
SEDG
INCY
BRO
KMX
AKAM
DGX
ATO
BIO
CAG
EVRG
BXP
DRI
IRM
L
NTAP
TTWO
LNT
XYL
HWM
PKG
MGM
NDAQ
TYL
FMC
IEX
LKQ
UDR
AES
TXT
CPT
OMC
NVR
CAH
HST
AVY
CPB
VTRS
NLOK
LDOS
PEAK
FDS
EMN
UAL
TECH
DPZ
SJM
MAS
JKHY
PTC
KIM
SBNY
CHRW
CCL
BEN
TFX
RCL
CTXS
NDSN
NI
HAS
CBOE
WRK
IPG
LUMN
ABMD
SNA
CRL
TAP
HSIC
AAP
QRVO
RE
NRG
REG
CZR
ETSY
DISH
PHM
CMA
MKTX
AAL
UHS
NWS
NWSA
AOS
FFIV
LW
RHI
AIZ
WHR
JNPR
ALLE
GL
BWA
LNC
OGN
FBHS
NLSN
MHK
SEE
DVA
TPR
HII
XRAY
CDAY
FRT
PNW
ZION
NWL
IVZ
PNR
BBWI
DXC
WYNN
RL
VNO
ALK
PENN
IPGP
UA
UAA
PVH
NCLH
